Title;OriginalTitle;Synopsis;Genre;ReleaseDate
Red: Crescer é Uma Fera;Turning Red;Mei, de treze anos, está experimentando a estranheza de ser uma adolescente com uma reviravolta – quando ela fica muito animada, ela se transforma em um panda vermelho gigante.;Animação,Comédia,Família,Fantasia;2022-03-10
Awareness: A Realidade é Uma Ilusão;Awareness;Um adolescente e seu pai vivem à margem da sociedade de forma peculiar: eles aplicam golpes usando os poderes do adolescente. Mas as coisas acabam saindo do controle quando Ian é exposto em público, o que dá início a uma guerra em que os dois lados querem obter benefícios com seu dom!;Ação,Mistério,Ficção Científica,Suspense;2023-03-16
Superbad: É Hoje;Superbad;Os estudantes adolescentes Seth e Evan têm grandes esperanças para uma festa de formatura. Os adolescentes co-dependentes pretendem beber e conquistar garotas para que eles possam se tornar parte da multidão popular da escola, mas a ansiedade de separação e dois policiais entediados complicam a auto-missão proclamada dos amigos.;Comédia;2007-03-20
Este é o Meu Garoto;That's My Boy;Na adolescência, Donny teve um filho, Todd, e o criou até completar 18 anos. Agora Donny ressurge pouco antes do casamento de Todd depois de anos separados, fazendo com que o mundo do futuro noivo desmorone.;Comédia;2012-06-14
É o Fim;This Is the End;Durante uma festa na casa de James Franco, uma série de eventos catastróficos se iniciam e aos poucos destroem Los Angeles. Seis amigos conseguem escapar, porém a falta de suprimentos traz à tona intrigas do passado. Eventualmente, eles são forçados a sair da casa, encarando seu destino e o verdadeiro significado de amizade e redenção.;Ação,Comédia;2013-06-12
Meu Nome é Khan;My Name Is Khan;Um homem muçulmano indiano, que sofre de síndrome de Asperger, é preso por engano como um suspeito de terrorismo após o 11 de Setembro em Los Angeles.;Drama,Romance;2010-02-10
A Vida é Bela;La vita è bella;Durante a Segunda Guerra Mundial na Itália, o judeu Guido e seu filho Giosué são levados para um campo de concentração nazista. Afastado da mulher, ele tem que usar sua imaginação para fazer o menino acreditar que estão participando de uma grande brincadeira, com o intuito de protegê-lo do terror e da violência que os cercam.;Comédia,Drama;1997-12-20
Ele é Demais;He's All That;"Neste remake do clássico adolescente ""Ela é Demais"", uma influenciadora aceita o desafio de transformar um garoto pouco popular em rei do baile.";Comédia,Romance;2021-08-27
O Céu é de Verdade;Heaven Is for Real;A história verdadeira do filho de 4 anos de um pastor de uma cidade pequena que, durante uma cirurgia de emergência, foge da consciência e entra no céu. Quando ele acorda, ele conta suas experiências do outro lado.;Drama;2014-04-16
Meu Nome é Vingança;Il mio nome è vendetta;Sofia era uma adolescente como qualquer outra, que gostava de dividir seu tempo livre entre partidas de hóquei e aulas de direção off-road — até o dia em que ela desobedece às ordens do pai e posta, em segredo, uma foto dele no Instagram. Mal sabia ela que aquele post mudaria as vidas deles para sempre. Seguindo as pistas no mundo online, dois criminosos conseguem encontrar a casa da família e acabam assassinando, a sangue frio, a mãe e o tio da jovem. A tragédia vai dar início a um acerto de contas que estava dormente por quase vinte anos.;Ação,Crime,Suspense;2022-11-30
Perfeita é a Mãe!;Bad Moms;Uma mulher (Mila Kunis), com vida aparentemente perfeita acaba ficando estressada além do ponto com as obrigações domésticas. Cansada da situação, ela se une a duas outras mulheres (Kathryn Hahn e Kristen Bell) que passam pelos mesmos problemas e juntas iniciam uma intensa jornada de libertação.;Comédia;2016-07-28
Ela é o Cara;She's the Man;Viola (Amanda Bynes) é uma boa jogadora de futebol, mas sempre é impedida de jogar com os garotos de sua escola devido ao preconceito de que mulher não pode ser tão boa no esporte quanto um homem. Furiosa, Viola aproveita a viagem de seu irmão Sebastian (James Kirk) e decide se passar por ele em sua escola, jogando no time masculino de futebol. Ela tem apenas duas semanas para mostrar que sabe jogar futebol, mas acaba se apaixonando por Duke (Channing Tatum), seu companheiro de quarto, que acredita que ela é um homem.;Comédia,Romance;2006-03-17
O Amor é Cego;Shallow Hal;Hal (Jack Black) é um homem que segue à risca o conselho de seu pai e apenas se interessa por mulheres que tenham um físico perfeito. Mas tudo muda quando ele por acaso se encontra com Anthony Robbins, um guru de auto-ajuda que o hipnotiza e faz com que ele apenas possa visualizar a beleza interior das mulheres, em detrimento de seu físico. Sem saber que está sob o efeito de hipnose, Hal então se apaixona por Rosemary (Gwyneth Paltrow), uma mulher obesa que é vista por ele como se fosse uma verdadeira deusa. Até que, após ser retirado da hipnose por seu amigo Mauricio (Jason Alexander), ele passa a ver como Rosemary é de verdade fisicamente e precisa tomar uma decisão sobre seu relacionamento com ela.;Comédia,Romance;2001-11-01
O Crime é Meu;Mon crime;Madeleine Verdier, uma atriz sem dinheiro, é acusada do assassinato de um famoso produtor. Com a ajuda de sua melhor amiga ela prova isso, é absolvida por legítima defesa.;Comédia,Mistério;2023-03-08
Doze é Demais 2;Cheaper by the Dozen 2;Tom Baker e sua esposa, Kate, levam seus filhos para o que esperam ser um verão relaxante em um resort à beira do lago. Porém, logo descobrem que vão ficar em um quarto muito ruim. Para piorar a situação, o antigo inimigo de Tom, Jimmy Murtaugh, e sua enorme família aparecem no lugar e envolvem os Baker em uma competição nada amigável, que ameaça estragar sua viagem.;Aventura,Comédia,Família;2005-12-21
Interestelar;Interstellar;As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar.;Aventura,Drama,Ficção Científica;2014-11-05
Faster Than Light: the Dream of Interstellar Flight;Faster Than Light: the Dream of Interstellar Flight;“Faster Than Light” explores the longstanding quest to develop spacecraft with enough power and speed to reach the stars. The film asks: What will it take to reach a newly discovered planet circling our Sun’s nearest neighbor, Proxima Centauri? Based on real science and engineering, “Faster Than Light” takes audiences on a thrilling journey into the future, aboard laser-driven space sails, antimatter engines, and even warp drive – right out of science fiction. “Who can say how far, and how fast, our technology will one day take us?” said director Thomas Lucas.;Documentário;2017-06-07
O Corpo;El cuerpo;O detetive Jaime Peña (José Coronado) esta investigando o caso de um corpo desaparecido do necrotério, após um guarda-noturno do local ser atropelado. O corpo é de uma poderosa mulher, Mayka Villaverde (Belén Rueda). Há muitas questões sem resposta e ninguém parece ser quem diz, ao mesmo tempo que escondem algo sobre o passado de Mayka. Ele conta com a ajuda do marido dela, mas uma intrincada rede de interesses surge no meio da investigação.;Mistério,Suspense;2012-12-21
Teresa: O Corpo de Cristo;Teresa, el cuerpo de Cristo;"Teresa de Cepada y Ahumada, filha de um fidalgo de Ávila, não aceita seu papel como mulher em um mundo de homens. Ela não se contenta em ser apenas esposa e mãe. Ela sente que há algo mais. Ela quer escrever, ler, aprender. Na busca por esse ""algo mais"" de que sente falta, Teresa vai para um convento de clausura, mas sua decepção não poderia ser maior. Ela logo descobre que por trás das paredes do convento, reina o mesmo materialismo e frivolidade de que ela está tentando fugir. Teresa, então, decide iniciar uma cruzada baseada em oração e sacrifício, pela qual primeiro será considerada rebelde e louca, para então se tornar uma líder e, enfim, uma santa.";Drama;2007-03-09
Mientras el cuerpo aguante;Mientras el cuerpo aguante;Housekeeper inherits her employer's fortune, tries to enter into society and make a good match for her God-daughter.;;1958-12-04
The body;El cuerpo;"Four friends go hunting and ""accidentally"" one kills another. The argument over what to do with the body will get to unsuspected heights.";;2018-11-01
18 Indications on the Body;18 indicios sobre el cuerpo;A short film based on texts from Communitas, a publication by Emilio García Wehbi, which in turn has its origin in 58 Indications on the Body by Jean-Luc Nancy.;;2021-11-29
El Último Cuerpo;El Último Cuerpo;Investigating the murder of a drag, the journalist Heriberto Camargo discovers that the crime is part of a plot of police killings attributed to a character known as Vincent. The chronicles published by Camargo and his investigations to uncover the motive for the crimes confront Commissioner Sangretti.;Ação,Crime;2011-01-01
En el cuerpo;En el cuerpo;;Documentário;2018-08-16
El cuerpo incorrupto;El cuerpo incorrupto;;Documentário;2013-01-01
El Otro Cuerpo;El Otro Cuerpo;;Drama,Mistério;2022-08-17
El cuarto cuerpo;El cuarto cuerpo;;Drama,Suspense;2017-03-01
With a Borrowed Body;Con el Cuerpo Prestado;;Comédia,Fantasia;1983-01-27
El cuerpo del delito;El cuerpo del delito;The shocking and compelling true story of two women. one savagely raped, tortured and burned. the other, a detective that makes this case her mission. United by destiny and tragedy, they find strength in each other to find the criminals who committed such a brutal and violent crime.;Drama;2005-05-11
Mientras el cuerpo aguante;Mientras el cuerpo aguante;A documentary on song-writer, singer, speaker and thinker Chicho Sanchez Ferlosio, his anarchistic way of life seen through his songs, opinions and incarnations.;;1982-09-26
En el cuerpo equivocado;En el cuerpo equivocado;Mavis is a Cuban transsexual who, 20 years after her sex change operation, questions the way in which she has developed her femininity based on the stereotypes and prejudice of the male-dominated, patriarchal and hegemonic society she lives in. An intimate trip within her leads the spectator to question the sex-gender distinction.;Documentário;2010-01-02
Journey Through the Body;Viaje por el cuerpo;A photographer has drawn his world by populating it with clandestine images. Photography allowed him years ago the excuse to try to escape from the family nucleus. And so, lightly packed, he boarded the first and only train.;;2001-03-01
To Let The Body Grow;Dejarse Crecer el Cuerpo;Animated testimonies of people with different gender identities, that relate their life experiences and create a single voice with many voices.;Animação,Documentário;2018-05-01
Mom's Corpse;El Cuerpo De Mamá;As the world faces a pre-apocalyptic era and Luisito and his two siblings find themselves with the difficult and traumatic situation of having their lifeless mother in the middle of the room. In turn, the world faces hundreds of thousands of deaths that cause the morgues to be at their maximum capacity, preventing the authorities from coming to collect the body. With the help of his two siblings, whose relationship has been breaking down over the years, they decide to transport the body to a safer and more dignified place.;Drama;2021-11-17
El cuerpo es el soplo cálido;El cuerpo es el soplo cálido;A ritual of spiritual and emotional survival based on the contact with solar light.  Musical set shot live, during the period of quarantine in the city of Buenos Aires. Intervened through montage with images of a relaxation and dispersion routine that consisted in going up to the terrace of the building in order to sunbathe, look at the concrete horizon and absorb the energy of the outside from the windows of the apartment. Archive footage, registered in Mini-DV format during another time, invokes the same revitalizing function as the sun, light reflected in flowers that nurture the spirit.;;
Devil in the Flesh;Con el diablo en el cuerpo;Young newlywed girl about to embark on her honeymoon persuades older family friend to assist her in an extensive search for her missing husband. A road-trip full of comical misadventures ensues.;;1947-05-21
With the Devil in the Body;Con el diablo en el cuerpo;;;1954-09-20
365 Dias: Hoje;365 dni: Ten dzień;"Em 365 Dias: Hoje, após os acontecimentos de 365 Dias, Laura Biel se casa com Don Massimo, o chefe da máfia siciliana que a sequestrou. Sua vida parece um conto de fadas: ela tem um marido amoroso, uma casa linda e um bebê a caminho. Mas Massimo tem muitos inimigos, e eles sabem que a melhor maneira de lhe causar dor é ferir aqueles que ama. Depois de um mal-entendido conjugal, Laura e sua melhor amiga, Olga, fogem da Sicília para a Polônia natal. Mas sem a proteção do marido, Laura é sequestrada por Marcelo ""Nacho"" Matos, filho do chefe da máfia rival, e levada para as Ilhas Canárias pela máfia espanhola. Agora Massimo moverá qualquer montanha para resgatá-la. Mas o que o chefe da máfia siciliana não espera é que Laura começa a ter sentimentos pelo seu raptor, lindo e extremamente perigoso, enquanto é mantida refém.";Drama,Romance;2022-04-27
365 Dias Finais;Kolejne 365 dni;A falta de confiança deixa a relação entre Laura e Massimo por um fio. Enquanto isso, Nacho usa de sua esperteza para afastá-los ainda mais.;Drama,Romance;2022-08-19
365 Dias;365 dni;Laura, a fim de salvar seu relacionamento, vai para a Sicília, onde conhece Massimo. Um homem perigoso, o chefe de uma família da máfia, que a sequestra e lhe dá 365 dias para amá-lo.;Drama,Romance;2020-02-07
365 días al año;365 días al año;The story of an elderly lady.;;
Cidade de Deus;Cidade de Deus;Buscapé é um jovem morador da Cidade de Deus que cresce em meio à violência. Com medo de se tornar um bandido, enxerga na fotografia uma oportunidade de ter uma vida digna.;Crime,Drama;2002-08-30
Cidade de Deus: 10 Anos Depois;Cidade de Deus: 10 Anos Depois;Como o próprio título já diz, resgata os dez anos passados desde o lançamento de Cidade de Deus (2002), longa de Fernando Meirelles e Kátia Lund que recebeu quatro indicações ao Oscar. Procura mostrar as transformações vividas pelos atores do longa na última década. Deram entrevistas atores como Seu Jorge, Alice Braga, Leandro Firmino da Hora, Darlan Cunha, Roberta Rodrigues, dentre outros.;Documentário;2013-10-05
750 Cidade de Deus;750 Cidade de Deus;Dois últimos dias da vida de um passageiro da linha 750 - Cidade de Deus, que está ameaçado de morte pelo irmão traficante.;;1998-06-19
A Deusa da Cidade Perdida;She;A cidade perdida de Kuma é governada pela cruel, arrogante e bela rainha, Ayesha, dotada da vida eterna. Ela atrai Leo Vincey para seu mundo, vendo nele a reencarnação do amante que ela assassinou há muito tempo em um ataque de ciúme violento. Contra todos os conselhos, Leo está determinado a ficar e Ayesha o convence a se banhar na chama da eterna juventude... com consequências desastrosas.;Aventura,Fantasia,Romance;1965-04-18
Cidade de Deus: Oficina dos Atores;Cidade de Deus: Oficina dos Atores;Minidoc sobre a preparação dos atores de Cidade de Deus (2002);Documentário;2003-01-01
Os Farofeiros;Os Farofeiros;Colegas de trabalho, Lima, Alexandre, Rocha e Diguinho decidem sair juntos em uma viagem com suas famílias para curtir o feriadão. Entre engarrafamentos quilométricos em carros apertados, ataques de mosquitos e disputas por um espaço na areia de praias lotadas, nada parece dar certo na viagem. Os planos de um passeio perfeito vão definitivamente por água abaixo quando descobrem que a casa que alugaram estava abandonada e caindo aos pedaços. Sem ter para onde ir, eles irão se meter em confusões hilárias e ainda terão que administrar os problemas de convivência para superar aquele que será o feriado mais infernal de suas vidas.;Comédia;2018-03-08
Os Farofeiros 2;Os Farofeiros 2;;;
Shiver;Eskalofrío;Santi, a young high-school student with a serious physical reaction to sunlight, is forced by his health to move with his single mother to a shadowy, isolated village in the mountains of Spain where the inhabitants begin to reveal themselves as strangely xenophobic. When terrible, violent events begin to occur, Santi becomes first a pariah at school and then strongly suspected by the police of hideous murders. Santi himself, however, wonders if he is not the next victim.;Horror,Suspense;2008-02-08
Lamb;Dýrið;Um casal que vive sozinho numa fazenda remota na Islândia tem a sua tranquila existência abalada pela descoberta espantosa de um misterioso recém-nascido entre as suas ovelhas. Eles decidem criar a criança como sua, mas logo enfrentam as consequências de desafiar a vontade da natureza.;Drama,Fantasia,Horror;2021-08-12
Lamb;Lamb;Após a morte do pai e de um divórcio, David Lamb busca recuperar sua fé na vida. Ele conhece Tommie, uma garota de 11 anos excluída pelas amigas e que não recebe a devida atenção de sua mãe. Lamb acredita que precisa ajudá-la a ter um futuro com esperança e a leva numa viagem para as montanhas rochosas de Chicago, onde os dois percebem quais são as coisas mais importantes na vida.;Drama;2015-10-20
Mary Had a Little Lamb;Mary Had a Little Lamb;Uma reimaginação de terror do famoso conto - Mary Had A Little Lamb.;Horror;2023-10-03
O Rebanho;The Other Lamb;"Selah (Raffey Cassidy) é uma jovem nascida em um culto repressivo conhecido como ""rebanho"". Todas as mulheres e crianças vivem em um complexo rural e são liderados por um homem, conhecido apenas como ""Pastor"". Selah recebe a grande honra de participar do ritual sagrado do nascimento dos cordeiros, do qual o rebanho depende para sobreviver. Durante a cerimônia, ela passa por uma experiência chocante. A adolescente começa a ter visões estranhas que a fazem questionar sua própria realidade, e tudo o que o Pastor a ensinou.";Drama,Horror,Suspense;2020-04-03
LaMB;LaMB;The film tells the story of a futuristic inhabited planet that has seemingly perfected a system of justice and imprisonment, called “Lamination”. Individuals convicted of serious crimes are encased in laminated suits, which results in virtual slavery. The criminals are referred to as “LaMBs”. The protagonists struggle with the political and ethical system of laminated imprisonment, leading to the eventual development of a romantic relationship between a free citizen and a LaMB.  LaMB is an animated film produced by Animax.  The film has been developed into four different episodes for Mobile and PSP users.;;2009-03-24
Lamb;Lamb;When an Ethiopian boy moves in with distant relatives he takes his pet sheep with him but the upcoming holidays spell danger for his beloved friend.;Drama;2015-09-30
Lamb Lamb Lamb;羊羊羊;Aoqi and his girlfriend Qing Keer are about to part. An embarrassing incident happened between them and Aoqi's good friend Cha Ligan while parting.;;2023-10-08
Lamb;Lamb;Michael Lamb is a Father questioning his calling, in a Reform School in Ireland. When young epileptic runaway Eoin is sent to the school, the two recognise kindred spirits and escape to London together. With the police on their tail and the money running out however, Lamb is forced to make some terrible decisions.;Drama;1986-10-10
Lambada, A Dança Proibida;The Forbidden Dance;No início da década de 1990, as florestas tropicais brasileiras estão sob a ameaça de uma grande multinacional americana. Buscando uma solução, a princesa Nisa (Laura Harring) viaja com o xamã Joa (Sid Haig) para Los Angeles, a fim de encontrar um modo de salvar a fauna e flora do local. Mas os planos não dão muito certo: Joa é preso e Nisa deve encontrar, sozinha, a solução para impedir a destruição da floresta. A salvação vem quando ela encontra um jovem que dançarino, e juntos resolvem participar de uma competição de lambada promovida por uma emissora de TV.;Drama,Romance;1990-03-16
Lamb;Lamb;‘Lamb’ was shot in a farmer’s lambing shed near Skaer’s house on the island of Lewis. The soundtrack was composed by Will Carslake and Olivia Ray in collaboration with Nashashibi.;;2019-01-01
Lamb Game;羔羊游戏;Hong Kong, 1996. Wang Cui Ying was held hostage by robbers at her wedding and witnessed her husband dying under the guns of bandits. Unable to get out of the haze, she now works in an archery hall.  On the night of the typhoon, she accidentally stayed in the building, witnessed the same gang of bandits killing people in it. While escaping from them, she accidentally stumbles upon a blind man, Nan Ge. From that moment, they both try to escape from the bandits, in the building that has turned into a death trap.;Crime;2023-08-17
Sacrificial Lamb;Upurjērs;In this allegory about paradise lost, Ildze yearns to find peace and fulfilment by moving from the city to the countryside. However, her thoughts are consumed by the illness of her child, her estrangement from her husband and his absence. In the meantime, Ildze’s grief is enveloped by nature’s promise of comfort, which never arrives. She tries to understand where to find the beginning of the cycle of sacrifice and where to find its end. And who is her victim, or is it herself?;;2023-10-18
Lamb;Lamb;An ordinary day takes a sinister turn for a woman and her child when a stranger walks into their isolated rural home.;Drama;2022-03-31
Lady Caroline Lamb;Lady Caroline Lamb;Lady Caroline Lamb, dissatisfied in her marriage, has an affair with the dashing Romantic poet Lord Byron.;Drama,História,Romance;1972-11-22
The Scythian Lamb;羊の木;Based on a manga written by Tatsuhiko Yamagami, the story is set in a former seaport town Uobuka, where 6 former criminals were sent to live there by the government, with the intention of re-socialising them. Aside from the few who know about the project, the general townsfolk has no idea of the former convicts' identities. Tsukisue is the pleasant and efficient municipal official put in charge of the programme. As he slowly learns about their past, a body is discovered.;Crime,Drama;2018-02-03
Who Killed Lamb?;Who Killed Lamb?;A popular member of the Oxford community is killed and nobody figure out why.  A police inspector is called in from Scotland Yard and discovers there may be more to the victim than anyone knows.;Crime,Drama,Mistério,Filme para TV,Suspense;1974-02-04
The Crippled Lamb;The Crippled Lamb;The classic children's book The Crippled Lamb comes to home video in this special adaptation with full animation, original songs, and a name value cast including Jodi Benson (The Little Mermaid) and Robby Benson (Beauty and the Beast, Ice Castles) performing character voicings.;Animação,Família;2000-12-09
Dr. Lamb;羔羊醫生;An abnormal taxi driver lusts for blood every rainy night, and several young women are killed as a result. The muderer, Laiu, likes to take photos of the victims dismembered bodies as momentos. Inspector Lee is called onto the case in this bizarre thriller.;Crime,Horror,Suspense;1992-10-22
Lamb Of God: Killadelphia;Lamb Of God: Killadelphia;"Part concert footage, part fly-on-the-wall video documentary of the ups and downs of a road tour, Lamb of God: Killadelphia could easily entertain the most stubborn of metal haters with its lively peek at the band at work and play between shows. Whether dealing with rental truck breakdowns, show delays, radio interviews, in-store appearances, late arrivals of equipment, or dazzled fans, the members of Lamb of God and their handful of assistants keep their cool with fluent wit, easygoing camaraderie, and unabashed romanticism (meeting up with band members' spouses is one of the highlights of Killadelphia). Meanwhile, Lamb of God's grinding, apocalyptic wall of sound, especially singer Randy Blythe's croaking, monster vocals, whip a Philadelphia crowd into a hellbound fury. Special features include three music videos, including an uncensored ""Now You've Got Something to Die For.""";Documentário,Musical;2005-01-01
Lamb;Lamb;A couple gets ready for a dinner party with another couple. The evening gets derailed as each spouse reveals a surprising secret about the other couple.;Drama;2022-11-26
O Exterminador do Futuro: Destino Sombrio;Terminator: Dark Fate;Décadas após Sarah Connor impedir o Dia do Julgamento, um novo Exterminador letal é enviado para eliminar o futuro líder da resistência. Em uma luta para salvar a humanidade, Sarah Connor, endurecida pela batalha, se une a um aliado inesperado e a um super soldado aprimorado com a missão de parar o Exterminador mais mortal até agora.;Ação,Ficção Científica;2019-10-23
O Exterminador do Futuro: Gênesis;Terminator Genisys;John Connor, líder da resistência humana contra Skynet, envia Kyle Reese de volta a 1984 para proteger sua mãe, Sarah. Porém, Reese se surpreende ao encontrá-la com um exterminador que age como seu protetor, e descobre que o passado foi alterado.;Ação,Aventura,Ficção Científica,Suspense;2015-06-23
O Exterminador do Futuro;The Terminator;Em um futuro próximo, a guerra entre humanos e máquinas foi iniciada. Com a tecnologia a seu dispor, um plano inusitado é arquitetado pelas máquinas ao enviar para o passado um andróide com a missão de matar a mãe daquele que viria a se transformar num líder e seu pior inimigo. Contudo, os humanos também conseguem enviar seu representante para proteger a mulher e tentar garantir o futuro da humanidade.;Ação,Ficção Científica,Suspense;1984-10-26
O Exterminador do Futuro 2: O Julgamento Final;Terminator 2: Judgment Day;O jovem John Connor é a chave para a vitória da civilização sobre uma rebelião de robôs do futuro. No entanto, ele torna-se alvo de T-1000, um exterminador que pode assumir a forma que desejar e que foi enviado do futuro para matá-lo. Outro exterminador, o renovado T-800, também é enviado de volta ao passado para proteger o garoto. Quando John e sua mãe embarcam na fuga com T-800, o menino cria um vínculo forte e inesperado com o robô.;Ação,Ficção Científica,Suspense;1991-07-03
O Exterminador do Futuro 4: A Salvação;Terminator Salvation;John Connor é designado para liderar a resistência humana ao domínio das máquinas, coordenadas pela Skynet e seu exército de exterminadores. Quando surge um estranho homem chamado Marcus Wright, cuja última memória que possui é de estar no corredor da morte. John Connor precisa descobrir se ele foi enviado do futuro ou resgatado do passado, ao mesmo tempo em que a Skynet prepara seu ataque definitivo, que pode aniquilar a humanidade.;Ação,Ficção Científica,Suspense;2009-05-20
O Exterminador do Futuro 3: A Rebelião das Máquinas;Terminator 3: Rise of the Machines;Na intenção de concluir a missão ainda inacabada, a bela e perigosa máquina mortífera T-X é enviada para matar John Connor, líder da resistência humana contra as máquinas da Skynet. Para protegê-lo mais uma vez o ciborgue T-800 volta à cena.;Ação,Ficção Científica,Suspense;2003-07-02
Manipuladores do Tempo aka O Exterminador do Passado;Timestalkers;History professor Scott McKenzie makes an anachronistic discovery in a photograph from the Old West and he is soon joined by beautiful time-traveler Georgia in a time-skipping adventure to stop her colleague from the future from erasing her from existence.;Aventura,Ficção Científica,Filme para TV,Suspense,Faroeste;1987-03-10
A Gêmea do Mal;The Evil Twin;Emily consegue escapar de um relacionamento abusivo e decide voltar para sua cidade natal em busca de paz e sossego. Mas quando ela chega, fica sabendo da existência de uma irmã gêmea que pode ser uma assassina.;Filme para TV,Suspense;2021-01-16
Evil Twin;Evil Twin;Gangsters get their hands on a teleportation device and this causes major conflict in the team.;Ação,Ficção Científica;2013-12-06
The Evil Twin;전설의 고향;In coma for a decade, the twin So Yeon wakes finally up. But she can't recall many things. Her other twin sister, Hyo Jin, died in the accident that led to So Yeon's coma. Now that So Yeon has gained her consciousness back, strange things start to happen.;Horror,Mistério;2007-05-23
My Evil Twin;My Evil Twin;Short about an Evil Twin;;
The Universe: Nemesis - The Sun's Evil Twin;The Universe: Nemesis - The Sun's Evil Twin;The theory of a Nemesis star that orbits the sun and causes catastrophic events every 26 million years is explored.;Documentário,História,Ficção Científica;2011-11-01
O Marido Errado;The Wrong Husband;Melanie suspeita que seu marido Derrick não seja o homem com quem ela se casou. Agora ela deve embarcar em uma missão para descobrir o que há de errado - estudar seu comportamento estranho, seguir cada movimento seu e sondar seu passado.;Filme para TV,Suspense;2019-03-11
